incentive_id,title,company_1,company_2,company_3,company_4,company_5
2288,Execução da EDL do GAL Costeiro Litoral Norte – Do Mar ao Prato,"SOCIEDADE DE PESCA, NUNO PEDRO, LDA","SOCIEDADE PISCICULTORA FARENSE, LDA","ECONAUTURISMO, LDA","ÂNCORAS E LÉGUAS, LDA","PISCICULTURA DO VALE DA LAMA, LDA"
2814,Aquisições de prédios com destino à instalação de empreendimentos qualificados de utilidade turística,"PALLOL - ADMINISTRAÇÂO DE PROPRIEDADES, LDA","TOURISTATE - INVESTIMENTOS E SERVIÇOS TURÍSTICOS E IMOBILIÁRIOS, LDA","TERRAS DA BEIRA - INVESTIMENTOS TURÍSTICOS, UNIPESSOAL, LDA","PROSPERITY TODAY, LDA","RED GROVE, UNIPESSOAL, LDA"
3350,dedução das quotizações para ordens profissionais indispensáveis ao exercício do trabalho dependente (na categoria A),"NARRATIVA DESFIADA, UNIPESSOAL, LDA","TRANQUILIDADE AO RUBRO - TRABALHO TEMPORARIO, LDA","REFERÊNCIA TANGÍVEL, UNIPESSOAL, LDA","MÉTODO IMPLÍCITO, UNIPESSOAL, LDA","VALOR VIGENTE - TRABALHO TEMPORÁRIO, LDA"
988,Estrutura de Missão Portugal Inovação Social 2030 (EMPIS),INOV - INSTITUTO DE ENGENHARIA DE SISTEMAS E COMPUTADORES INOVAÇÃO,"INNOVAGENCY - CONSULTORIA, TECNOLOGIA E COMUNICAÇÃO, S.A.","EDP INOVAÇÃO, S.A.","WE INNOV - TECNOLOGIA E INOVAÇÃO, LDA","INOVA+ - INNOVATION SERVICES, S.A."
1009,Promoção da Eficiência Energética no Ensino Superior,"ENSILIS - EDUCAÇÃO E FORMAÇÃO, UNIPESSOAL, LDA","ENSINUS - ESTUDOS SUPERIORES, S.A.","ENSIGAIA - EDUCAÇÃO E FORMAÇÃO, SOCIEDADE UNIPESSOAL, LDA","100%ENERGIA - ARQUITECTURA, LDA","INSTITUTO EUROPEU DE ESTUDOS SUPERIORES-I.E.E.S., UNIPESSOAL, LDA"
2816,Instituições de segurança social,CAIXA DE PREVIDÊNCIA DO MINISTÉRIO DA EDUCAÇÃO,A BENEFICÊNCIA FAMILIAR - ASSOCIAÇÃO DE SOCORROS MÚTUOS,"INSTITUTO DE GESTÃO FINANCEIRA DA SEGURANÇA SOCIAL, I.P.","INSTITUTO DE GESTÃO DE FUNDOS DE CAPITALIZAÇÃO DA SEGURANÇA SOCIAL, I.P.",COFRE DE PREVIDÊNCIA DOS FUNCIONÁRIOS E AGENTES DO ESTADO
986,Funções transversais no âmbito da coordenação técnica global do Portugal 2030 | 2026 -2027,"MEIA-SOMBRA, UNIPESSOAL, LDA","MONITAR, LDA","RADTEST, LDA","TEORIADIRETA, UNIPESSOAL, LDA","HCENTER, UNIPESSOAL, LDA"
1217,REABILITAÇÃO E REGENERAÇÃO URBANAS (IT),"COMBINAÇÃO URBANA, LDA","PBAPTISTA - REABILITAÇÃO URBANA, UNIPESSOAL, LDA","REHABILITÁCIA - REABILITAÇÃO URBANA, UNIPESSOAL, LDA","3EHM - REABILITAÇÃO URBANA EM LISBOA, LDA","PORTO VIVO, SRU - SOCIEDADE DE REABILITAÇÃO URBANA DO PORTO, E.M., S.A."
2608,Derrama municipal - Possibilidade atribuída aos minicípios de lançarem anualmente uma derrama a uma taxa inferior à máxima legalmente prevista,MUNICÍPIO DE ODIVELAS,MUNICÍPIO DE ESTARREJA,MUNICÍPIO DE PAÇOS DE FERREIRA,MUNICÍPIO DE PENELA,"A.D.C. - ÁGUAS DA COVILHÃ, E.M."
992,Eficiência Energética em Infraestruturas Públicas – Administração Pública Local ,"MÉTODO - MEDIDAS ENERGÉTICAS, UNIPESSOAL, LDA",ADENE - AGÊNCIA PARA A ENERGIA,"EFFICIENT GREEN - GESTÃO E SERVIÇOS ENERGÉTICOS, LDA",AGÊNCIA MUNICIPAL DE ENERGIA DO SEIXAL - AMESEIXAL,"AMENER - EFICIÊNCIA ENERGÉTICA, S.A."
1155,Infraestruturas e Equipamentos Sociais (IT),"GESPAÇOS - GESTÃO DE EQUIPAMENTOS MUNICIPAIS, E.M., S.A.","GESLOURES - GESTÃO DE EQUIPAMENTOS SOCIAIS, EM., UNIPESSOAL, LDA","E.M. - ESTRUTURAS SOCIAIS, SOCIEDADE UNIPESSOAL, LDA","SOCIOHABITAFUNCHAL - EMPRESA MUNICIPAL DE HABITAÇÃO, E.M.","PRAIA AMBIENTE, E.M."
1071,Investimentos em baixa na gestão de resíduos urbanos (IT) - Bolsa de Overbooking Condicionado,"RED WASTE - GESTÃO DE RESÍDUOS, UNIPESSOAL, LDA","BEWISYNBRA CIRCULAR PORTUGAL, LDA","100 RESÍDUOS - RECEPÇÃO, TRIAGEM E RECICLAGEM DE RESÍDUOS, LDA","RECICLOVOUGA - COMÉRCIO DE SUCATA, LDA","RECICOTTON, LDA"
1072,Eficiência energética na administração local (IT) - Bolsa de Overbooking Condicionado,"EFI3ENE - EFICIÊNCIA ENERGÉTICA, LDA","EDIGREEN - SOLUÇÕES ENERGÉTICAS, LDA","EDIFÍCIOS SAUDÁVEIS CONSULTORES - AMBIENTE E ENERGIA EM EDIFÍCIOS, LDA","100%ENERGIA - ARQUITECTURA, LDA","EFFICIENT GREEN - GESTÃO E SERVIÇOS ENERGÉTICOS, LDA"
1157,Aquisição de Material Circulante Ferroviário - Comboios Suburbanos - 62 Automotoras,"DAVID FERREIRA - TRANSPORTES, LDA","TUVR - URBANOS DE VILA REAL, LDA","JOAQUIM DA COSTA FERREIRA & FILHOS, LDA","AUTO VIAÇÃO FEIRENSE, LDA","COMPANHIA CARRIS DE FERRO DE LISBOA, E.M., S.A."
2821,"Documentos, livros, papeis, contratos, operações, atos e produtos previstos na tabela geral respeitantes a entidades licenciadas nas Zonas Francas da Madeira e da ilha de Santa Maria e às empresas concessionárias","MADEIRA MANAGEMENT CIA, LDA (ZONA FRANCA DA MADEIRA)","FEDRAX, LDA (ZONA FRANCA DA MADEIRA)","M. L. G. T. MADEIRA - MANAGEMENT E INVESTMENT, S.A. (ZONA FRANCA DA MADEIRA)","MADEIRA FIDUCIA MANAGEMENT, LDA (ZONA FRANCA DA MADEIRA)","MIGUEL SARAIVA, ARCHITECTURE INTERNATIONAL, S.A. (ZONA FRANCA DA MADEIRA)"
1077,Execução da EDL do GAL ADELIAÇOR MAR - Qualificação dos jovens utilizadores do mar,"NORDZEE - NÁUTICA E SERVIÇOS, LDA","DOURO À VELA, UNIPESSOAL, LDA","TREINO DE MAR, LDA","G.NÁUTICA, LDA","NAUTICAZORES, LDA"
1075,Ampliação de infraestruturas aeroportuárias na Região Autónoma dos Açores - 1º Aviso,"SATA - GESTÃO DE AERÓDROMOS, S.A.","SATA INTERNACIONAL - AZORES AIRLINES, S.A.","INSULARTRÁFEGO - AGÊNCIA DE TRANSPORTES E TRÂNSITOS DOS AÇORES, LDA","SATA AIR AÇORES - SOCIEDADE AÇORIANA DE TRANSPORTES AÉREOS, S.A.","PORTOS DOS AÇORES, S.A."
1078,Execução da EDL do GAL ADELIAÇOR MAR - Proteção da biodiversidade marinha e Proteção do ordenamento do espaço marítimo e reforço da resiliência costeira,"SALVADOR DO MAR, SOCIEDADE UNIPESSOAL, LDA","MARÉS DE PAPEL, UNIPESSOAL, LDA","FORMOSO E ALEGRE, UNIPESSOAL, LDA","EXCLUSIVÂNCORA, LDA","RUBRICAS E ROTAS, UNIPESSOAL, LDA"
1080,Execução de 2 projetos âncora inscritos na EDL do GAL ADELIAÇOR MAR,"MARÉS DE PAPEL, UNIPESSOAL, LDA","FORMOSO E ALEGRE, UNIPESSOAL, LDA","MARISLAND - MADEIRA MARICULTURE, LDA","SAFIESTELA - SUSTAINABLE AQUA FARMING INVESTMENTS, S.A.","OSEM - OSTRAS SUSUMO E EMPREENDIMENTOS DO MAR, LDA"
1726,Cursos Técnicos Superiores Profissionais (TeSP) - Entidades Públicas – Ciclo 2025/2027,"CODEPA - CENTRO DE ORIENTAÇÃO E DOCUMENTAÇÃO DE ENSINO PARTICULAR, S.A.","ENSILIS - EDUCAÇÃO E FORMAÇÃO, UNIPESSOAL, LDA","MESTRES, FORMAÇÃO E EDUCAÇÃO, UNIPESSOAL,LDA","COLÉGIO SANTO ANDRÉ, S.A.","COSTA ALEGRE, UNIPESSOAL, LDA"
2834,Observatório Europeu da Droga e da Toxicodependência,"C.I.T.A.-CENTRO DE INVESTIGAÇÃO E TRATAMENTO DA ADICÇÃO, LDA","A BARRAGEM - FUNDAÇÃO PORTUGUESA PARA O ESTUDO, PREVENÇÃO E TRATAMENTO DAS DEPENDÊNCIAS","VIVER MAIS - TERAPIA DAS DEPENDÊNCIAS E OUTRAS PATOLOGIAS, UNIPESSOAL, LDA","CRETA - CENTRO DE RECUPERAÇÃO PARA TOXICODEPENDENTES E ALCOÓLICOS, UNIPESSOAL, LDA","ENTRE PONTES - CENTRO DE TRATAMENTO E REINSERÇÃO ADICTOS, LDA"
967,Assistência Técnica OI Lisboa 2030 (2026 a 2027),"TECNOLINHA - ASSISTÊNCIA TÉCNICA A ELECTRODOMÉSTICOS, LDA","HÉLDER GONÇALVES - ASSISTÊNCIA TÉCNICA DE EQUIPAMENTOS, LDA","CLIMALEIXO - ASSISTÊNCIA TÉCNICA, LDA","RORISAT - SERVIÇOS DE ASSISTÊNCIA TÉCNICA, LDA","JLC - ASSISTÊNCIA TÉCNICA EQUIPAMENTOS MÉDICOS, UNIPESSOAL, LDA"
1008,Promoção da Eficiência Energética na Administração Pública,"EFI3ENE - EFICIÊNCIA ENERGÉTICA, LDA","EDIGREEN - SOLUÇÕES ENERGÉTICAS, LDA","EDIFÍCIOS SAUDÁVEIS CONSULTORES - AMBIENTE E ENERGIA EM EDIFÍCIOS, LDA","100%ENERGIA - ARQUITECTURA, LDA","EFFICIENT GREEN - GESTÃO E SERVIÇOS ENERGÉTICOS, LDA"
975,Promoção da saúde mental – capacitação de profissionais e voluntários,"CASA DE SAÚDE E REPOUSO DA AMOREIRA, S.A.","DORIAL - SAÚDE MENTAL, LDA","MAIS ME QUERO - CENTRO DE DESENVOLVIMENTO E SAÚDE MENTAL, UNIPESSOAL, LDA","VIVER MAIS - TERAPIA DAS DEPENDÊNCIAS E OUTRAS PATOLOGIAS, UNIPESSOAL, LDA","MARCADAMENTE - CLÍNICA ESPECIALIZADA EM SAÚDE MENTAL, UNIPESSOAL, LDA"
1019,"Governação, coordenação e dinamização do consórcio - ITI Água e Ecossistemas de Paisagem – Algarve e Alentejo","MELODIA DA NATUREZA, UNIPESSOAL, LDA","ECO IMPACT, S.A.","MFF - ECOTURISMO, BIOLOGIA E CONSERVAÇÃO, UNIPESSOAL, LDA","LAND(E) - AGRICULTURA E PECUÁRIA, LDA",SOCIEDADE PORTUGUESA DE ECOLOGIA
971,"INFRAESTRUTURAS HOSPITALARES
","INFRAHEALTH - GESTÃO DE INFRAESTRUTURAS, UNIPESSOAL, LDA","PARCELA CRÍTICA, LDA","SAÚDE RÁPIDA, LDA","LUZ SAÚDE - UNIDADES DE SAÚDE E DE APOIO À TERCEIRA IDADE, S.A.","HOSPITAL DE S. FRANCISCO, S.A."
2912,"Automóveis ligeiros de utilização mista, com peso bruto superior a 2500 kg, lotação mínima de sete lugares, e que não apresentem tração às quatro rodas","DESTINOS INVULGARES - TRANSPORTE DE PASSAGEIROS, UNIPESSOAL, LDA","TRANSPORTES DE PASSAGEIROS, FILIPE ALVES, UNIPESSOAL, LDA","AVINTESTOUR - TRANSPORTE DE PASSAGEIROS, LDA","VERD'ALÉM, UNIPESSOAL, LDA","CAMINHOS SEGMENTADOS, LDA"
1220,Corredores verdes em contexto urbano - ITI CIM,"NATUREZA VERDE - JARDINS, LDA","VERDE FLAMEJANTE, UNIPESSOAL, LDA","TRAVE VERDE, LDA","LETRAS VERDES - CONSULTORES, LDA","EVOLUÇÃO VERDE - JARDINS E VIVEIROS, LDA"
2609,Concessionários nacionais de produção hidroelétrica e termoelétrica e de transporte e grande distribuição de energia elétrica - Regime fiscal das concessões do Estado no âmbito da politica nacional de eletrificação,"ENERGIA VERDE - PRODUÇÃO DE ENERGIA, LDA","ELIENERGIA - PRODUÇÃO DE ENERGIA, LDA","MOREIRA & SOUSA - PRODUÇÃO DE ENERGIA, LDA","FRAGUSTO - ENERGIA, LDA","GAMEIROS RENOVÁVEIS - PRODUÇÃO DE ENERGIA, LDA"
1086,Eficiência energética na Habitação Social,"EFI3ENE - EFICIÊNCIA ENERGÉTICA, LDA","100%ENERGIA - ARQUITECTURA, LDA","EFFICIENT GREEN - GESTÃO E SERVIÇOS ENERGÉTICOS, LDA","NERTECA - ENERGIAS RENOVÁVEIS, LDA","ENERGIA EFECTIVA, LDA"
998,Digitalização da administração pública local (ITI CIM AMAL),"UM DOM DIGITAL - NOVAS TECNOLOGIAS DE INFORMAÇÃO, LDA","GESDATA - GESTÃO E TECNOLOGIA, LDA","PALAVRAS TANTAS NOTÍCIAS E PROJECTOS DIGITAIS, UNIPESSOAL, LDA","L'AGENCE III - DIGITAL CONTENTS, LDA","BEMDIGITAL - GESTÃO, PROJETOS E TECNOLOGIA, UNIPESSOAL, LDA"
1090,Apoio à Transferência de Conhecimentos entre Cientistas e Pescadores – Região Autónoma dos Açores,"AJUDADO POR DEUS, LDA","TEODORO & BAETA, LDA","RUBRICAS E ROTAS, UNIPESSOAL, LDA","J.FARIA, LDA","SOCIEDADE DE PESCA VIJOMAR, LDA"
1024,Inclusão pela Cultura LISBOA – 3º Aviso,"DANÇASEMPRE, UNIPESSOAL, LDA","ROSÁLIA PASSINHAS, UNIPESSOAL, LDA","REENCONTRO, ASSOCIAÇÃO SOCIAL, EDUCATIVA E CULTURAL","PALCO DOS SENTIDOS, UNIPESSOAL, LDA","PAUTA EM MOVIMENTO, UNIPESSOAL, LDA"
1095,Produtos turísticos - Iniciativas Âncora Regionais,"I AM - TURISMO E PRODUTOS REGIONAIS, LDA","TREMDOURO - PASSEIOS TURÍSTICOS DA RÉGUA, SOCIEDADE UNIPESSOAL, LDA","CASAL DA MOURA - TURISMO RURAL, LDA","SUPRACITADOS - PRODUTOS REGIONAIS, LDA","OPORTONOW, UNIPESSOAL, LDA"
1047,Incubadoras de empresas de base não tecnológica,"INCUDUARTE - INCUBAÇÃO AVÍCOLA, UNIPESSOAL, LDA","BECOBECO, LDA","MOVELTEX - CENTRO DE COMPETÊNCIAS E DE INCUBAÇÃO DE EMPRESAS, ASSOCIAÇÃO","MAIN HUB - INNOVATION, INCUBATION & DEVELOPMENT, LDA","INCUBETA PORTUGAL, UNIPESSOAL, LDA"
999,Ações Coletivas de Transferência do Conhecimento Científico e Tecnológico - SystemEU - Reforço da operação Horizon Connect Cofund ,"STARTUP STATION, LDA","DATASET - INOVAÇÃO E TRANSFORMAÇÃO DIGITAL, LDA","LIQUIDVOTING.IO, UNIPESSOAL, LDA","VERTICE - INOVAÇÃO E DIGITALIZAÇÃO, LDA","HEY DIGITAL VENTURES, LDA"
1301,03. Investimento RE-C04-i01 - Redes Culturais e Transição Digital (Orientação Técnica N.º 03/C04-i01/2021),"ADLIB, LDA","CIDADEPRENDADA, LDA","DIGITEX, LDA","MEMÓRIAS DO MUNDO - ARQUEOLOGIA E PATRIMÓNIO, LDA","MEMÓRIA IMATERIAL COOPERATIVA CULTURAL, CRL"
1023,Medidas de apoio às alterações climáticas e prevenção e gestão de riscos associados ao clima,"2ADAPT - SERVIÇOS DE ADAPTAÇÃO CLIMÁTICA, LDA","TERRAPLANAGENS AMIGA DO AMBIENTE, LDA","OBSERVAÇÃO RELEVANTE, UNIPESSOAL, LDA","RESILIENCE ART, LDA","TERRA DE JANS -TERRAPLANAGENS, LDA"
1097,"Ciclo da Água: reutilização, resiliência, modernização e descarbonização","ÁGUA NEGRA - GESTÃO DE RECURSOS NATURAIS, LDA","AMBIETEL - TECNOLOGIAS AMBIENTAIS, UNIPESSOAL, LDA","ECO IMPACT, S.A.","SERVIWATER - SOLUÇÕES TÉCNICAS PARA ÁGUA, LDA","A.R.M. - ÁGUAS E RESÍDUOS DA MADEIRA, S.A."
1028,Execução da EDL do GAL ADREPES COSTEIRO,"OSTRA RIBEIRO, UNIPESSOAL, LDA","PESCARIAS EUREKA, LDA","PESCA FUNDO ORDENHAR NO FUTURO, UNIPESSOAL, LDA","PESCAS DE AMARAL & SOUSA, LDA","PESCHICULTURA BOA ÁGUA, LDA"
1014,SITCE - Economia Circular,"ÁGUAS DO NORTE, S.A.","PLANETA AFÁVEL - TRATAMENTO DE ÁGUAS, UNIPESSOAL, LDA","ÁGUA NEGRA - GESTÃO DE RECURSOS NATURAIS, LDA","AMBILIS - RECOLHA E TRATAMENTO DE RESÍDUOS, S.A.","AGERE - EMPRESA DE ÁGUAS EFLUENTES E RESÍDUOS DE BRAGA, E.M."
1001,Construir 2030 - Pequenos Negócios,"SMALL VENTURES INVESTMENTS - CONSULTORIA DE GESTÃO, LDA","PEQUENA DENTADA, UNIPESSOAL, LDA","PEQUENO PATAMAR - COMÉRCIO E SERVIÇOS, LDA","PEQUENA DIMENSÃO COMÉRCIO DE CARNES UNIPESSOAL, LDA","SMALLTRAM, UNIPESSOAL, LDA"
1100,Competências e qualificações na administração local (IT) ,"IMPARÁVEL FORMAÇÕES, LDA","FORMACONDE - FORMAÇÃO PROFISSIONAL, LDA","CENTRO DE FORMAÇÃO E EDUCAÇÃO O MAIS SABER, LDA","FORMAÇÃO EM MOVIMENTO - CURSOS DE FORMAÇÃO RODOVIÁRIA, LDA","FORMAÇÃO ATIVA, FA, UNIPESSOAL, LDA"
1103,Digitalização da Administração Pública Local (IT),"SUCESSO TEMÁTICO, LDA",MUNICÍPIO DE GUIMARÃES,"PERCENTAGEM ANUNCIADA, LDA","AGÊNCIA DE DOCUMENTAÇÃO AUTOMÓVEL A FUTURISTA DE CASCAIS, LDA","E.A.D. - EMPRESA DE ARQUIVO DE DOCUMENTAÇÃO, S.A."
1015,Estratégias de Eficiência Coletiva PROVERE do NORTE2030 - 2.ª fase de operações do PT2020,"PROVALOREM - INVESTIMENTOS, LDA","POEIRA D'EXEMPLOS, UNIPESSOAL, LDA","PROJETO (10)CONSTRUÍDO, UNIPESSOAL, LDA","PRESSUPOSTO - PROJECTOS E CONSULTORIA DE ENGENHARIA CIVIL, LDA","PROEZA ENVOLVENTE - CONSTRUÇÕES, UNIPESSOAL, LDA"
1038,Execução da EDL do GAL Litoral Rural – Património Cultural: Afirmar a Cultura e a Identidade Marítima,"DOURO À VELA, UNIPESSOAL, LDA","SOPROMAR - CENTRO NAÚTICO, LDA","PRAZER DO MAR - ACTIVIDADES MARÍTIMO-TURÍSTICAS, LDA","MARINA DE VILAMOURA, S.A.","MARÉS DE PAPEL, UNIPESSOAL, LDA"
1318,"06. Dotar os centros de saúde com equipamentos (saco de emergência, desfibrilhador e monitor de sinais vitais) para resposta qualificada em emergência (suporte básico de vida) (Orientação Técnica Nº 06/C01-i01/2022)","PARAMEDICA - EQUIPAMENTOS MÉDICOS, LDA","MEDICAL EXPERT ME - EQUIPAMENTOS MÉDICOS, LDA","EXCELDENT - EQUIPAMENTOS MÉDICOS, LDA","T. A. - EQUIPAMENTOS MÉDICOS, LDA","REMEDITEC - IMPORTAÇÃO E COMERCIALIZAÇÃO DE EQUIPAMENTOS DE SAÚDE, S.A."
1309,"04. Medida 03 – “Selos de Certificações de Cibersegurança, Privacidade, Usabilidade e Sustentabilidade” (Aviso de Abertura de Concurso n.º 04/C16-i03/2023)","ACT CERTIFICA - CERTIFICAÇÃO DE PRODUTOS ARTESANAIS, LDA","E.I.C. - EMPRESA INTERNACIONAL DE CERTIFICAÇÃO, S.A.","SUSTENTARE - CONSULTADORIA DE SUSTENTABILIDADE, LDA","SUSTAINABLE CLOUD, UNIPESSOAL, LDA","MULTICERT - SERVIÇOS DE CERTIFICAÇÃO ELECTRÓNICA, S.A."
1016,"Conservação da natureza, biodiversidade e património natural - ITI Água e Ecossistemas de Paisagem Algarve e Alentejo",LIGA PARA A PROTECÇÃO DA NATUREZA,"NR NATURE - NATURAL RESOURCES MANAGEMENT, LDA","MELODIA DA NATUREZA, UNIPESSOAL, LDA","NATUREDIFICA, CONSTRUÇÕES E NATUREZA, UNIPESSOAL, LDA",ASSOCIAÇÃO BIÓPOLIS
1106,Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local - ITI CIM,"SUCESSO TEMÁTICO, LDA","DIGITVERSION, LDA",MUNICÍPIO DE ESTARREJA,MUNICÍPIO DA AZAMBUJA,MUNICÍPIO DE GUIMARÃES
1044,SIID – I&D Empresarial – Regime Contratual de Investimento (RCI),"INDEVE - INVESTIGAÇÃO E DESENVOLVIMENTO EMPRESARIAL, LDA",INOV - INSTITUTO DE ENGENHARIA DE SISTEMAS E COMPUTADORES INOVAÇÃO,INSTITUTO PEDRO NUNES - ASSOCIAÇÃO PARA A INOVAÇÃO E DESENVOLVIMENTO EM CIÊNCIA E TECNOLOGIA,"ADVANCED WAY, UNIPESSOAL, LDA","INNOVATION POINT - INVESTIGAÇÃO E DESENVOLVIMENTO, S.A."
1055,"
Conservação da natureza, biodiversidade e património natural - ITI Água e Ecossistemas de Paisagem – Algarve e Alentejo",LIGA PARA A PROTECÇÃO DA NATUREZA,"IN SITU - CONSERVAÇÃO DE BENS CULTURAIS, UNIPESSOAL, LDA","ARQUEOHOJE - CONSERVAÇÃO E RESTAURO PATRIMÓNIO MONUMENTAL, LDA","CA CO3 - CONSERVAÇÃO DO PATRIMÓNIO ARTÍSTICO, LDA","ICSP, INSTITUTO DE CONSERVAÇÃO E SALVAGUARDA DO PATRIMÓNIO, LDA"
1020,Incentivos à colocação no mercado de trabalho - Plano Territorial para uma Transição Justa do Alentejo Litoral (FTJ),"TRANQUILIDADE AO RUBRO - TRABALHO TEMPORARIO, LDA","WELCOMEWORK - TRABALHO TEMPORÁRIO, UNIPESSOAL, LDA","WORK AND WORKERS - TRABALHO TEMPORÁRIO, LDA","SUCCESS WORK - EMPRESA DE TRABALHO TEMPORÁRIO, LDA","JILT - TRABALHO TEMPORÁRIO, LDA"
1222,Títulos de Impacto Social,ASSOCIAÇÃO EPIS - EMPRESÁRIOS PELA INCLUSÃO SOCIAL,ELO SOCIAL - ASSOCIAÇÃO PARA A INTEGRAÇÃO E O APOIO AO DEFICIENTE MENTAL JOVEM E ADULTO,OBRA SOCIAL E CULTURAL SÍLVIA CARDOSO,CAIS - ASSOCIAÇÃO DE SOLIDARIEDADE SOCIAL,"ROTA DO TRABALHO, UNIPESSOAL, LDA"
1091,"Execução da EDL do GAL Pesca Sotavento Algarve
Investimentos que contribuam para o desenvolvimento de uma economia azul sustentável nas regiões costeiras, insulares e interiores e fomentar o desenvolvimento das comunidades piscatórias e de aquicultura
","AQUASADO, UNIPESSOAL, LDA","OSTRA RIBEIRO, UNIPESSOAL, LDA","PESCA FUNDO ORDENHAR NO FUTURO, UNIPESSOAL, LDA","EA AQUICULTURA DÚ SADO, UNIPESSOAL, LDA","SAFIESTELA - SUSTAINABLE AQUA FARMING INVESTMENTS, S.A."
1111,Equipamentos de ensino superior - Iniciativas Âncora Regionais - Bolsa de Overbooking Condicionado,"ENSILIS - EDUCAÇÃO E FORMAÇÃO, UNIPESSOAL, LDA","CENTRO DE ESTUDOS E FORMAÇÃO AQUILES ESTAÇO, UNIPESSOAL, LDA","MESTRES, FORMAÇÃO E EDUCAÇÃO, UNIPESSOAL,LDA","HÉLDER GONÇALVES - ASSISTÊNCIA TÉCNICA DE EQUIPAMENTOS, LDA","REC - FIELD - ASSISTÊNCIA TÉCNICA DE EQUIPAMENTOS INFORMÁTICOS, UNIPESSOAL, LDA"
